"","continent","country","lifeExp","year"
"1","Asia","Afghanistan",28.801,1952
"2","Africa","Gambia",30,1952
"3","Africa","Angola",30.015,1952
"4","Africa","Sierra Leone",30.331,1952
"5","Africa","Mozambique",31.286,1952
"6","Africa","Burkina Faso",31.975,1952
"7","Africa","Guinea-Bissau",32.5,1952
"8","Asia","Yemen, Rep.",32.548,1952
"9","Africa","Somalia",32.978,1952
"10","Africa","Guinea",33.609,1952
"11","Africa","Mali",33.685,1952
"12","Africa","Ethiopia",34.078,1952
"13","Africa","Equatorial Guinea",34.482,1952
"14","Africa","Djibouti",34.812,1952
"15","Africa","Central African Republic",35.463,1952
"16","Africa","Eritrea",35.928,1952
"17","Asia","Nepal",36.157,1952
"18","Africa","Malawi",36.256,1952
"19","Asia","Myanmar",36.319,1952
"20","Africa","Nigeria",36.324,1952
"21","Africa","Madagascar",36.681,1952
"22","Africa","Gabon",37.003,1952
"23","Africa","Senegal",37.278,1952
"24","Asia","India",37.373,1952
"25","Africa","Niger",37.444,1952
"26","Asia","Indonesia",37.468,1952
"27","Asia","Bangladesh",37.484,1952
"28","Asia","Oman",37.578,1952
"29","Americas","Haiti",37.579,1952
"30","Africa","Chad",38.092,1952
"31","Africa","Benin",38.223,1952
"32","Africa","Liberia",38.48,1952
"33","Africa","Cameroon",38.523,1952
"34","Africa","Togo",38.596,1952
"35","Africa","Sudan",38.635,1952
"36","Africa","Burundi",39.031,1952
"37","Africa","Congo, Dem. Rep.",39.143,1952
"38","Asia","Cambodia",39.417,1952
"39","Asia","Saudi Arabia",39.875,1952
"40","Africa","Uganda",39.978,1952
"41","Africa","Rwanda",40,1952
"42","Asia","Vietnam",40.412,1952
"43","Americas","Bolivia",40.414,1952
"44","Africa","Cote d'Ivoire",40.477,1952
"45","Africa","Mauritania",40.543,1952
"46","Africa","Comoros",40.715,1952
"47","Africa","Tanzania",41.215,1952
"48","Africa","Swaziland",41.407,1952
"49","Africa","Namibia",41.725,1952
"50","Africa","Egypt",41.893,1952
"51","Americas","Honduras",41.912,1952
"52","Americas","Guatemala",42.023,1952
"53","Africa","Zambia",42.038,1952
"54","Africa","Congo, Rep.",42.111,1952
"55","Africa","Lesotho",42.138,1952
"56","Asia","Mongolia",42.244,1952
"57","Africa","Kenya",42.27,1952
"58","Americas","Nicaragua",42.314,1952
"59","Africa","Libya",42.723,1952
"60","Africa","Morocco",42.873,1952
"61","Africa","Algeria",43.077,1952
"62","Africa","Ghana",43.149,1952
"63","Asia","Jordan",43.158,1952
"64","Asia","West Bank and Gaza",43.16,1952
"65","Asia","Pakistan",43.436,1952
"66","Europe","Turkey",43.585,1952
"67","Americas","Peru",43.902,1952
"68","Asia","China",44,1952
"69","Africa","Tunisia",44.6,1952
"70","Asia","Iran",44.869,1952
"71","Africa","South Africa",45.009,1952
"72","Americas","El Salvador",45.262,1952
"73","Asia","Iraq",45.32,1952
"74","Asia","Syria",45.883,1952
"75","Americas","Dominican Republic",45.928,1952
"76","Africa","Sao Tome and Principe",46.471,1952
"77","Asia","Korea, Rep.",47.453,1952
"78","Africa","Botswana",47.622,1952
"79","Asia","Philippines",47.752,1952
"80","Americas","Ecuador",48.357,1952
"81","Africa","Zimbabwe",48.451,1952
"82","Asia","Malaysia",48.463,1952
"83","Asia","Korea, Dem. Rep.",50.056,1952
"84","Americas","Colombia",50.643,1952
"85","Americas","Mexico",50.789,1952
"86","Asia","Thailand",50.848,1952
"87","Americas","Brazil",50.917,1952
"88","Asia","Bahrain",50.939,1952
"89","Africa","Mauritius",50.986,1952
"90","Africa","Reunion",52.724,1952
"91","Europe","Bosnia and Herzegovina",53.82,1952
"92","Americas","Chile",54.745,1952
"93","Americas","Venezuela",55.088,1952
"94","Americas","Panama",55.191,1952
"95","Europe","Albania",55.23,1952
"96","Asia","Kuwait",55.565,1952
"97","Asia","Lebanon",55.928,1952
"98","Americas","Costa Rica",57.206,1952
"99","Asia","Sri Lanka",57.593,1952
"100","Europe","Serbia",57.996,1952
"101","Asia","Taiwan",58.5,1952
"102","Americas","Jamaica",58.53,1952
"103","Americas","Trinidad and Tobago",59.1,1952
"104","Europe","Montenegro",59.164,1952
"105","Americas","Cuba",59.421,1952
"106","Europe","Bulgaria",59.6,1952
"107","Europe","Portugal",59.82,1952
"108","Asia","Singapore",60.396,1952
"109","Asia","Hong Kong, China",60.96,1952
"110","Europe","Romania",61.05,1952
"111","Europe","Croatia",61.21,1952
"112","Europe","Poland",61.31,1952
"113","Americas","Argentina",62.485,1952
"114","Americas","Paraguay",62.649,1952
"115","Asia","Japan",63.03,1952
"116","Europe","Hungary",64.03,1952
"117","Americas","Puerto Rico",64.28,1952
"118","Europe","Slovak Republic",64.36,1952
"119","Europe","Spain",64.94,1952
"120","Asia","Israel",65.39,1952
"121","Europe","Slovenia",65.57,1952
"122","Europe","Greece",65.86,1952
"123","Europe","Italy",65.94,1952
"124","Americas","Uruguay",66.071,1952
"125","Europe","Finland",66.55,1952
"126","Europe","Austria",66.8,1952
"127","Europe","Czech Republic",66.87,1952
"128","Europe","Ireland",66.91,1952
"129","Europe","France",67.41,1952
"130","Europe","Germany",67.5,1952
"131","Europe","Belgium",68,1952
"132","Americas","United States",68.44,1952
"133","Americas","Canada",68.75,1952
"134","Oceania","Australia",69.12,1952
"135","Europe","United Kingdom",69.18,1952
"136","Oceania","New Zealand",69.39,1952
"137","Europe","Switzerland",69.62,1952
"138","Europe","Denmark",70.78,1952
"139","Europe","Sweden",71.86,1952
"140","Europe","Netherlands",72.13,1952
"141","Europe","Iceland",72.49,1952
"142","Europe","Norway",72.67,1952
"143","Asia","Afghanistan",30.332,1957
"144","Africa","Sierra Leone",31.57,1957
"145","Africa","Angola",31.999,1957
"146","Africa","Gambia",32.065,1957
"147","Africa","Guinea-Bissau",33.489,1957
"148","Africa","Mozambique",33.779,1957
"149","Asia","Yemen, Rep.",33.97,1957
"150","Africa","Guinea",34.558,1957
"151","Africa","Burkina Faso",34.906,1957
"152","Africa","Somalia",34.977,1957
"153","Africa","Mali",35.307,1957
"154","Africa","Equatorial Guinea",35.983,1957
"155","Africa","Ethiopia",36.667,1957
"156","Africa","Malawi",37.207,1957
"157","Africa","Djibouti",37.328,1957
"158","Africa","Central African Republic",37.464,1957
"159","Asia","Nepal",37.686,1957
"160","Africa","Nigeria",37.802,1957
"161","Africa","Eritrea",38.047,1957
"162","Africa","Niger",38.598,1957
"163","Africa","Madagascar",38.865,1957
"164","Africa","Gabon",38.999,1957
"165","Africa","Senegal",39.329,1957
"166","Asia","Bangladesh",39.348,1957
"167","Africa","Liberia",39.486,1957
"168","Africa","Sudan",39.624,1957
"169","Africa","Chad",39.881,1957
"170","Asia","Indonesia",39.918,1957
"171","Asia","Oman",40.08,1957
"172","Asia","India",40.249,1957
"173","Africa","Benin",40.358,1957
"174","Africa","Cameroon",40.428,1957
"175","Africa","Burundi",40.533,1957
"176","Africa","Congo, Dem. Rep.",40.652,1957
"177","Americas","Haiti",40.696,1957
"178","Africa","Togo",41.208,1957
"179","Asia","Cambodia",41.366,1957
"180","Africa","Rwanda",41.5,1957
"181","Americas","Bolivia",41.89,1957
"182","Asia","Myanmar",41.905,1957
"183","Africa","Mauritania",42.338,1957
"184","Africa","Comoros",42.46,1957
"185","Africa","Cote d'Ivoire",42.469,1957
"186","Africa","Uganda",42.571,1957
"187","Asia","Saudi Arabia",42.868,1957
"188","Asia","Vietnam",42.887,1957
"189","Africa","Tanzania",42.974,1957
"190","Africa","Swaziland",43.424,1957
"191","Africa","Zambia",44.077,1957
"192","Americas","Guatemala",44.142,1957
"193","Africa","Egypt",44.444,1957
"194","Americas","Honduras",44.665,1957
"195","Africa","Kenya",44.686,1957
"196","Africa","Ghana",44.779,1957
"197","Africa","Lesotho",45.047,1957
"198","Africa","Congo, Rep.",45.053,1957
"199","Africa","Namibia",45.226,1957
"200","Asia","Mongolia",45.248,1957
"201","Africa","Libya",45.289,1957
"202","Africa","Morocco",45.423,1957
"203","Americas","Nicaragua",45.432,1957
"204","Asia","Pakistan",45.557,1957
"205","Asia","Jordan",45.669,1957
"206","Asia","West Bank and Gaza",45.671,1957
"207","Africa","Algeria",45.685,1957
"208","Americas","Peru",46.263,1957
"209","Africa","Tunisia",47.1,1957
"210","Asia","Iran",47.181,1957
"211","Africa","South Africa",47.985,1957
"212","Europe","Turkey",48.079,1957
"213","Asia","Syria",48.284,1957
"214","Asia","Iraq",48.437,1957
"215","Americas","El Salvador",48.57,1957
"216","Africa","Sao Tome and Principe",48.945,1957
"217","Africa","Botswana",49.618,1957
"218","Americas","Dominican Republic",49.828,1957
"219","Africa","Zimbabwe",50.469,1957
"220","Asia","China",50.54896,1957
"221","Asia","Philippines",51.334,1957
"222","Americas","Ecuador",51.356,1957
"223","Asia","Malaysia",52.102,1957
"224","Asia","Korea, Rep.",52.681,1957
"225","Americas","Brazil",53.285,1957
"226","Asia","Thailand",53.63,1957
"227","Asia","Bahrain",53.832,1957
"228","Asia","Korea, Dem. Rep.",54.081,1957
"229","Africa","Reunion",55.09,1957
"230","Americas","Colombia",55.118,1957
"231","Americas","Mexico",55.19,1957
"232","Americas","Chile",56.074,1957
"233","Americas","Venezuela",57.907,1957
"234","Asia","Kuwait",58.033,1957
"235","Africa","Mauritius",58.089,1957
"236","Europe","Bosnia and Herzegovina",58.45,1957
"237","Americas","Panama",59.201,1957
"238","Europe","Albania",59.28,1957
"239","Asia","Lebanon",59.489,1957
"240","Americas","Costa Rica",60.026,1957
"241","Europe","Montenegro",61.448,1957
"242","Asia","Sri Lanka",61.456,1957
"243","Europe","Portugal",61.51,1957
"244","Europe","Serbia",61.685,1957
"245","Americas","Trinidad and Tobago",61.8,1957
"246","Americas","Cuba",62.325,1957
"247","Asia","Taiwan",62.4,1957
"248","Americas","Jamaica",62.61,1957
"249","Asia","Singapore",63.179,1957
"250","Americas","Paraguay",63.196,1957
"251","Europe","Romania",64.1,1957
"252","Americas","Argentina",64.399,1957
"253","Asia","Hong Kong, China",64.75,1957
"254","Europe","Croatia",64.77,1957
"255","Asia","Japan",65.5,1957
"256","Europe","Poland",65.77,1957
"257","Europe","Hungary",66.41,1957
"258","Europe","Bulgaria",66.61,1957
"259","Europe","Spain",66.66,1957
"260","Americas","Uruguay",67.044,1957
"261","Europe","Slovak Republic",67.45,1957
"262","Europe","Austria",67.48,1957
"263","Europe","Finland",67.49,1957
"264","Europe","Italy",67.81,1957
"265","Asia","Israel",67.84,1957
"266","Europe","Slovenia",67.85,1957
"267","Europe","Greece",67.86,1957
"268","Americas","Puerto Rico",68.54,1957
"269","Europe","Ireland",68.9,1957
"270","Europe","France",68.93,1957
"271","Europe","Czech Republic",69.03,1957
"272","Europe","Germany",69.1,1957
"273","Europe","Belgium",69.24,1957
"274","Americas","United States",69.49,1957
"275","Americas","Canada",69.96,1957
"276","Oceania","New Zealand",70.26,1957
"277","Oceania","Australia",70.33,1957
"278","Europe","United Kingdom",70.42,1957
"279","Europe","Switzerland",70.56,1957
"280","Europe","Denmark",71.81,1957
"281","Europe","Sweden",72.49,1957
"282","Europe","Netherlands",72.99,1957
"283","Europe","Norway",73.44,1957
"284","Europe","Iceland",73.47,1957
"285","Asia","Afghanistan",31.997,1962
"286","Africa","Sierra Leone",32.767,1962
"287","Africa","Gambia",33.896,1962
"288","Africa","Angola",34,1962
"289","Africa","Guinea-Bissau",34.488,1962
"290","Asia","Yemen, Rep.",35.18,1962
"291","Africa","Guinea",35.753,1962
"292","Africa","Mozambique",36.161,1962
"293","Africa","Mali",36.936,1962
"294","Africa","Somalia",36.981,1962
"295","Africa","Equatorial Guinea",37.485,1962
"296","Africa","Burkina Faso",37.814,1962
"297","Africa","Malawi",38.41,1962
"298","Africa","Nigeria",39.36,1962
"299","Asia","Nepal",39.393,1962
"300","Africa","Central African Republic",39.475,1962
"301","Africa","Niger",39.487,1962
"302","Africa","Djibouti",39.693,1962
"303","Africa","Ethiopia",40.059,1962
"304","Africa","Eritrea",40.158,1962
"305","Africa","Gabon",40.489,1962
"306","Africa","Liberia",40.502,1962
"307","Africa","Madagascar",40.848,1962
"308","Africa","Sudan",40.87,1962
"309","Asia","Bangladesh",41.216,1962
"310","Africa","Senegal",41.454,1962
"311","Africa","Chad",41.716,1962
"312","Africa","Burundi",42.045,1962
"313","Africa","Congo, Dem. Rep.",42.122,1962
"314","Asia","Indonesia",42.518,1962
"315","Africa","Benin",42.618,1962
"316","Africa","Cameroon",42.643,1962
"317","Africa","Rwanda",43,1962
"318","Asia","Oman",43.165,1962
"319","Asia","Cambodia",43.415,1962
"320","Americas","Bolivia",43.428,1962
"321","Americas","Haiti",43.59,1962
"322","Asia","India",43.605,1962
"323","Africa","Togo",43.922,1962
"324","Africa","Tanzania",44.246,1962
"325","Africa","Mauritania",44.248,1962
"326","Africa","Comoros",44.467,1962
"327","Asia","China",44.50136,1962
"328","Africa","Cote d'Ivoire",44.93,1962
"329","Africa","Swaziland",44.992,1962
"330","Asia","Myanmar",45.108,1962
"331","Africa","Uganda",45.344,1962
"332","Asia","Vietnam",45.363,1962
"333","Asia","Saudi Arabia",45.914,1962
"334","Africa","Zambia",46.023,1962
"335","Africa","Ghana",46.452,1962
"336","Americas","Guatemala",46.954,1962
"337","Africa","Egypt",46.992,1962
"338","Asia","Pakistan",47.67,1962
"339","Africa","Lesotho",47.747,1962
"340","Africa","Libya",47.808,1962
"341","Africa","Morocco",47.924,1962
"342","Africa","Kenya",47.949,1962
"343","Americas","Honduras",48.041,1962
"344","Asia","Jordan",48.126,1962
"345","Asia","West Bank and Gaza",48.127,1962
"346","Asia","Mongolia",48.251,1962
"347","Africa","Algeria",48.303,1962
"348","Africa","Namibia",48.386,1962
"349","Africa","Congo, Rep.",48.435,1962
"350","Americas","Nicaragua",48.632,1962
"351","Americas","Peru",49.096,1962
"352","Asia","Iran",49.325,1962
"353","Africa","Tunisia",49.579,1962
"354","Africa","South Africa",49.951,1962
"355","Asia","Syria",50.305,1962
"356","Asia","Iraq",51.457,1962
"357","Africa","Botswana",51.52,1962
"358","Africa","Sao Tome and Principe",51.893,1962
"359","Europe","Turkey",52.098,1962
"360","Americas","El Salvador",52.307,1962
"361","Africa","Zimbabwe",52.358,1962
"362","Americas","Dominican Republic",53.459,1962
"363","Americas","Ecuador",54.64,1962
"364","Asia","Philippines",54.757,1962
"365","Asia","Korea, Rep.",55.292,1962
"366","Americas","Brazil",55.665,1962
"367","Asia","Malaysia",55.737,1962
"368","Asia","Thailand",56.061,1962
"369","Asia","Korea, Dem. Rep.",56.656,1962
"370","Asia","Bahrain",56.923,1962
"371","Africa","Reunion",57.666,1962
"372","Americas","Colombia",57.863,1962
"373","Americas","Chile",57.924,1962
"374","Americas","Mexico",58.299,1962
"375","Africa","Mauritius",60.246,1962
"376","Asia","Kuwait",60.47,1962
"377","Americas","Venezuela",60.77,1962
"378","Americas","Panama",61.817,1962
"379","Europe","Bosnia and Herzegovina",61.93,1962
"380","Asia","Lebanon",62.094,1962
"381","Asia","Sri Lanka",62.192,1962
"382","Americas","Costa Rica",62.842,1962
"383","Europe","Montenegro",63.728,1962
"384","Americas","Paraguay",64.361,1962
"385","Europe","Portugal",64.39,1962
"386","Europe","Serbia",64.531,1962
"387","Europe","Albania",64.82,1962
"388","Americas","Trinidad and Tobago",64.9,1962
"389","Americas","Argentina",65.142,1962
"390","Asia","Taiwan",65.2,1962
"391","Americas","Cuba",65.246,1962
"392","Americas","Jamaica",65.61,1962
"393","Asia","Singapore",65.798,1962
"394","Europe","Romania",66.8,1962
"395","Europe","Croatia",67.13,1962
"396","Europe","Poland",67.64,1962
"397","Asia","Hong Kong, China",67.65,1962
"398","Europe","Hungary",67.96,1962
"399","Americas","Uruguay",68.253,1962
"400","Asia","Japan",68.73,1962
"401","Europe","Finland",68.75,1962
"402","Europe","Slovenia",69.15,1962
"403","Europe","Italy",69.24,1962
"404","Asia","Israel",69.39,1962
"405","Europe","Bulgaria",69.51,1962
"406","Europe","Greece",69.51,1962
"407","Europe","Austria",69.54,1962
"408","Americas","Puerto Rico",69.62,1962
"409","Europe","Spain",69.69,1962
"410","Europe","Czech Republic",69.9,1962
"411","Americas","United States",70.21,1962
"412","Europe","Belgium",70.25,1962
"413","Europe","Ireland",70.29,1962
"414","Europe","Germany",70.3,1962
"415","Europe","Slovak Republic",70.33,1962
"416","Europe","France",70.51,1962
"417","Europe","United Kingdom",70.76,1962
"418","Oceania","Australia",70.93,1962
"419","Oceania","New Zealand",71.24,1962
"420","Americas","Canada",71.3,1962
"421","Europe","Switzerland",71.32,1962
"422","Europe","Denmark",72.35,1962
"423","Europe","Netherlands",73.23,1962
"424","Europe","Sweden",73.37,1962
"425","Europe","Norway",73.47,1962
"426","Europe","Iceland",73.68,1962
"427","Asia","Afghanistan",34.02,1967
"428","Africa","Sierra Leone",34.113,1967
"429","Africa","Guinea-Bissau",35.492,1967
"430","Africa","Gambia",35.857,1967
"431","Africa","Angola",35.985,1967
"432","Asia","Yemen, Rep.",36.984,1967
"433","Africa","Guinea",37.197,1967
"434","Africa","Mozambique",38.113,1967
"435","Africa","Mali",38.487,1967
"436","Africa","Somalia",38.977,1967
"437","Africa","Equatorial Guinea",38.987,1967
"438","Africa","Malawi",39.487,1967
"439","Africa","Niger",40.118,1967
"440","Africa","Burkina Faso",40.697,1967
"441","Africa","Nigeria",41.04,1967
"442","Asia","Nepal",41.472,1967
"443","Africa","Central African Republic",41.478,1967
"444","Africa","Liberia",41.536,1967
"445","Africa","Djibouti",42.074,1967
"446","Africa","Ethiopia",42.115,1967
"447","Africa","Eritrea",42.189,1967
"448","Africa","Sudan",42.858,1967
"449","Africa","Madagascar",42.881,1967
"450","Asia","Bangladesh",43.453,1967
"451","Africa","Burundi",43.548,1967
"452","Africa","Senegal",43.563,1967
"453","Africa","Chad",43.601,1967
"454","Africa","Congo, Dem. Rep.",44.056,1967
"455","Africa","Rwanda",44.1,1967
"456","Africa","Gabon",44.598,1967
"457","Africa","Cameroon",44.799,1967
"458","Africa","Benin",44.885,1967
"459","Americas","Bolivia",45.032,1967
"460","Asia","Cambodia",45.415,1967
"461","Africa","Tanzania",45.757,1967
"462","Asia","Indonesia",45.964,1967
"463","Americas","Haiti",46.243,1967
"464","Africa","Mauritania",46.289,1967
"465","Africa","Comoros",46.472,1967
"466","Africa","Swaziland",46.633,1967
"467","Africa","Togo",46.769,1967
"468","Asia","Oman",46.988,1967
"469","Asia","India",47.193,1967
"470","Africa","Cote d'Ivoire",47.35,1967
"471","Africa","Zambia",47.768,1967
"472","Asia","Vietnam",47.838,1967
"473","Africa","Uganda",48.051,1967
"474","Africa","Ghana",48.072,1967
"475","Africa","Lesotho",48.492,1967
"476","Africa","Egypt",49.293,1967
"477","Asia","Myanmar",49.379,1967
"478","Asia","Pakistan",49.8,1967
"479","Asia","Saudi Arabia",49.901,1967
"480","Americas","Guatemala",50.016,1967
"481","Africa","Libya",50.227,1967
"482","Africa","Morocco",50.335,1967
"483","Africa","Kenya",50.654,1967
"484","Americas","Honduras",50.924,1967
"485","Africa","Namibia",51.159,1967
"486","Asia","Mongolia",51.253,1967
"487","Africa","Algeria",51.407,1967
"488","Americas","Peru",51.445,1967
"489","Asia","Jordan",51.629,1967
"490","Asia","West Bank and Gaza",51.631,1967
"491","Americas","Nicaragua",51.884,1967
"492","Africa","South Africa",51.927,1967
"493","Africa","Congo, Rep.",52.04,1967
"494","Africa","Tunisia",52.053,1967
"495","Asia","Iran",52.469,1967
"496","Africa","Botswana",53.298,1967
"497","Asia","Syria",53.655,1967
"498","Africa","Zimbabwe",53.995,1967
"499","Europe","Turkey",54.336,1967
"500","Africa","Sao Tome and Principe",54.425,1967
"501","Asia","Iraq",54.459,1967
"502","Americas","El Salvador",55.855,1967
"503","Asia","Philippines",56.393,1967
"504","Americas","Ecuador",56.678,1967
"505","Americas","Dominican Republic",56.751,1967
"506","Americas","Brazil",57.632,1967
"507","Asia","Korea, Rep.",57.716,1967
"508","Asia","Thailand",58.285,1967
"509","Asia","China",58.38112,1967
"510","Asia","Malaysia",59.371,1967
"511","Asia","Bahrain",59.923,1967
"512","Asia","Korea, Dem. Rep.",59.942,1967
"513","Americas","Colombia",59.963,1967
"514","Americas","Mexico",60.11,1967
"515","Americas","Chile",60.523,1967
"516","Africa","Reunion",60.542,1967
"517","Africa","Mauritius",61.557,1967
"518","Americas","Venezuela",63.479,1967
"519","Asia","Lebanon",63.87,1967
"520","Americas","Panama",64.071,1967
"521","Asia","Sri Lanka",64.266,1967
"522","Asia","Kuwait",64.624,1967
"523","Europe","Bosnia and Herzegovina",64.79,1967
"524","Americas","Paraguay",64.951,1967
"525","Americas","Trinidad and Tobago",65.4,1967
"526","Americas","Costa Rica",65.424,1967
"527","Americas","Argentina",65.634,1967
"528","Europe","Albania",66.22,1967
"529","Europe","Portugal",66.6,1967
"530","Europe","Romania",66.8,1967
"531","Europe","Serbia",66.914,1967
"532","Europe","Montenegro",67.178,1967
"533","Asia","Taiwan",67.5,1967
"534","Americas","Jamaica",67.51,1967
"535","Asia","Singapore",67.946,1967
"536","Americas","Cuba",68.29,1967
"537","Americas","Uruguay",68.468,1967
"538","Europe","Croatia",68.5,1967
"539","Europe","Slovenia",69.18,1967
"540","Europe","Hungary",69.5,1967
"541","Europe","Poland",69.61,1967
"542","Europe","Finland",69.83,1967
"543","Asia","Hong Kong, China",70,1967
"544","Europe","Austria",70.14,1967
"545","Europe","Czech Republic",70.38,1967
"546","Europe","Bulgaria",70.42,1967
"547","Asia","Israel",70.75,1967
"548","Americas","United States",70.76,1967
"549","Europe","Germany",70.8,1967
"550","Europe","Belgium",70.94,1967
"551","Europe","Slovak Republic",70.98,1967
"552","Europe","Greece",71,1967
"553","Europe","Italy",71.06,1967
"554","Europe","Ireland",71.08,1967
"555","Oceania","Australia",71.1,1967
"556","Americas","Puerto Rico",71.1,1967
"557","Europe","United Kingdom",71.36,1967
"558","Asia","Japan",71.43,1967
"559","Europe","Spain",71.44,1967
"560","Oceania","New Zealand",71.52,1967
"561","Europe","France",71.55,1967
"562","Americas","Canada",72.13,1967
"563","Europe","Switzerland",72.77,1967
"564","Europe","Denmark",72.96,1967
"565","Europe","Iceland",73.73,1967
"566","Europe","Netherlands",73.82,1967
"567","Europe","Norway",74.08,1967
"568","Europe","Sweden",74.16,1967
"569","Africa","Sierra Leone",35.4,1972
"570","Asia","Afghanistan",36.088,1972
"571","Africa","Guinea-Bissau",36.486,1972
"572","Africa","Angola",37.928,1972
"573","Africa","Gambia",38.308,1972
"574","Africa","Guinea",38.842,1972
"575","Asia","Yemen, Rep.",39.848,1972
"576","Africa","Mali",39.977,1972
